fdc_id,nombre,calories,carbs,fat,fiber,protein,sugar
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",456.0,67.18,15.92,7.5,10.91,0.8
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",474.0,76.03,17.89,2.5,2.19,49.0
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",487.0,77.34,18.79,0.0,2.19,49.43
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",467.0,65.81,18.42,2.4,9.42,1.03
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",459.0,64.7,17.29,3.5,11.16,0.83
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",469.0,65.11,18.93,3.5,9.67,0.86
167597,"Rudi'S, Gluten-Free Bakery, Original Sandwich Bread",320.0,52.83,10.7,3.5,3.13,8.36
167598,"Udi'S, Gluten Free, Soft & Delicious White Sandwich Bread",298.0,51.15,8.02,5.5,5.4,11.3
167599,"Udi'S, Gluten Free, Soft & Hearty Whole Grain Bread",309.0,49.09,9.34,4.9,7.25,9.81
167600,"Udi'S, Gluten Free, Whole Grain Dinner Rolls",329.0,44.29,11.6,11.2,11.8,4.2
167601,"Van'S, Gluten Free, Totally Original Pancakes",215.0,40.32,4.55,1.5,3.31,4.06
167602,"Seaweed, Canadian Cultivated Emi-Tsunomata, Dry",259.0,46.24,1.39,36.7,15.34,0.0
167603,"Seaweed, Canadian Cultivated Emi-Tsunomata, Rehydrated",31.0,5.62,0.17,4.5,1.86,0.0
167604,"Potatoes, Hash Brown, Refrigerated, Unprepared",84.0,19.16,0.08,1.8,1.75,0.91
167605,"Potatoes, Hash Brown, Refrigerated, Prepared, Pan-Fried In Canola Oil",242.0,33.99,10.3,3.6,3.24,1.16
167606,"Sweet Potatoes, French Fried, Frozen As Packaged, Salt Added In Processing",182.0,35.58,8.92,5.7,2.16,12.9
167607,"Moose, Meat, Raw (Alaska Native)",103.0,0.0,1.5,0.0,22.3,0.0
167608,"Mashu Roots, Raw (Alaska Native)",135.0,22.6,2.4,0.0,5.8,0.0
167609,"Moose, Liver, Braised (Alaska Native)",155.0,3.43,4.89,0.0,24.38,0.0
167610,"Seal, Bearded (Oogruk), Meat, Raw (Alaska Native)",110.0,0.0,0.4,0.0,26.7,0.0
167611,"Oil, Bearded Seal (Oogruk) (Alaska Native)",899.0,0.0,99.6,0.0,0.56,0.0
167612,"Oopah (Tunicate), Whole Animal (Alaska Native)",67.0,0.0,2.2,0.0,11.7,0.0
167613,"Owl, Horned, Flesh, Raw (Alaska Native)",136.0,0.0,5.0,0.0,22.7,0.0
167614,"Fish, Salmon, King, Chinook, Smoked And Canned (Alaska Native)",150.0,0.0,5.9,0.0,23.2,0.0
167615,"Fish, Salmon, King, Chinook, Smoked, Brined (Alaska Native)",430.0,0.0,30.0,0.0,39.9,0.0
167616,"Fish, Salmon, King, Chinook, Liver (Alaska Native)",156.0,4.3,8.0,0.0,16.6,0.0
167617,"Duck, Scoter, White-Winged, Meat (Alaska Native)",84.0,0.0,0.4,0.0,20.2,0.0
167618,"Sea Cucumber, Yane (Alaska Native)",56.0,0.0,0.4,0.0,13.0,0.0
167619,"Squirrel, Ground, Meat (Alaska Native)",111.0,0.0,3.8,0.0,19.3,0.0
167620,"Tea, Tundra, Herb And Laborador Combination (Alaska Native)",1.0,0.2,0.0,0.0,0.0,0.0
167621,"Walrus, Meat, Dried (Alaska Native)",251.0,0.0,2.6,0.0,57.0,0.0
167622,"Deer (Venison), Sitka, Raw (Alaska Native)",116.0,0.0,2.66,0.0,21.5,0.0
167623,"Whale, Bowhead, Subcutaneous Fat (Blubber) (Alaska Native)",870.0,0.0,96.5,0.0,0.4,0.0
167624,"Whale, Bowhead, Skin And Subcutaneous Fat (Muktuk) (Alaska Native)",465.0,0.0,46.1,0.0,12.6,0.0
167625,"Oil, Whale, Bowhead (Alaska Native)",900.0,0.0,100.0,0.0,0.0,0.0
167626,"Fish, Whitefish, Broad, Liver (Alaska Native)",104.0,5.1,4.4,0.0,11.0,0.0
167627,"Mush, Blue Corn With Ash (Navajo)",54.0,11.74,0.49,1.1,0.66,0.19
167628,"Cornmeal, Blue (Navajo)",398.0,76.93,5.44,8.7,10.4,1.81
167629,"Melon, Banana (Navajo)",21.0,4.06,0.2,0.3,0.84,3.36
167630,Chilchen (Red Berry Beverage) (Navajo),44.0,8.68,0.63,0.0,0.81,2.6
167631,"Corn, Dried (Navajo)",386.0,74.93,5.22,0.0,9.88,5.38
167632,"Squash, Indian, Cooked, Boiled (Navajo)",16.0,3.22,0.15,1.5,0.31,2.02
167633,"Bread, Kneel Down (Navajo)",195.0,39.47,2.21,0.0,4.29,3.74
167634,"Mutton, Cooked, Roasted (Navajo)",234.0,0.08,11.09,0.0,33.43,0.0
167635,"Frybread, Made With Lard (Navajo)",330.0,48.26,12.22,0.0,6.69,2.03
167636,Tamales (Navajo),153.0,18.12,6.12,3.1,6.28,0.99
167637,"Stew, Steamed Corn (Navajo)",112.0,10.8,3.75,2.3,8.82,0.51
167638,"Fish, Halibut, Raw, With Skin (Alaska Native)",116.0,1.81,2.92,0.0,20.53,0.0
167639,"Fish, Salmon, Coho (Silver), Raw (Alaska Native)",140.0,0.0,5.57,0.0,22.56,0.0
167640,"Blueberries, Wild, Raw (Alaska Native)",61.0,12.31,0.76,2.6,1.22,6.46
167641,"Oil, Spotted Seal (Alaska Native)",894.0,0.0,99.32,0.0,0.0,0.0
167642,"Fish, Salmon, Red, Canned, Bones Removed (Alaska Native)",161.0,0.0,5.76,0.0,27.31,0.0
167643,"Fish, Whitefish, Eggs (Alaska Native)",104.0,4.89,2.88,0.0,14.66,0.0
167644,"Caribou, Rump Meat, Half Dried (Alaska Native)",255.0,0.0,5.23,0.0,52.06,0.0
167645,"Fish, Salmon, Red, (Sockeye), Canned, Smoked (Alaska Native)",206.0,0.0,7.26,0.0,35.19,0.0
167646,"Fish, Salmon, Red, (Sockeye), Kippered (Alaska Native)",141.0,0.0,4.75,0.0,24.5,0.0
167647,"Fish, Salmon, King, With Skin, Kippered, (Alaska Native)",209.0,0.0,12.95,0.0,23.19,0.0
167648,"Fish, Sheefish, Raw (Alaska Native)",115.0,0.0,2.84,0.0,22.25,0.0
167649,"Buffalo, Free Range, Top Round Steak, Raw (Shoshone Bannock)",97.0,0.0,1.3,0.0,21.44,0.0
167650,"Seal, Bearded (Oogruk), Meat, Partially Dried (Alaska Native)",270.0,0.0,2.31,0.0,62.38,0.0
167651,"Buffalo, Free Range, Top Round Steak, Cooked (Shoshone Bannock)",146.0,0.0,1.8,0.0,32.51,0.0
167652,"Elk, Free Range, Roast, Eye Of Round, Raw (Shoshone Bannock)",98.0,0.0,2.1,0.0,19.74,0.0
167653,"Corn, Dried, Yellow (Northern Plains Indians)",419.0,66.27,10.64,20.5,14.48,21.32
